,team_a,team_b,rating_a,rating_b,is_home_a,score_a,score_b,team_a_win
207,Detroit Pistons,Atlanta Hawks,299.59464307106026,321.9066387048242,0,106.0,94.0,1
208,Chicago Bulls,Cleveland Cavaliers,331.15580682311156,347.49540954693447,1,97.0,95.0,1
209,Cleveland Cavaliers,Chicago Bulls,347.49540954693447,331.15580682311156,0,95.0,97.0,0
210,Golden State Warriors,New Orleans Pelicans,422.8213784363012,217.9855497824574,1,111.0,95.0,1
211,New Orleans Pelicans,Golden State Warriors,217.9855497824574,422.8213784363012,0,95.0,111.0,0
212,Orlando Magic,Washington Wizards,305.0659987090361,297.04752814474386,1,87.0,88.0,0
213,Washington Wizards,Orlando Magic,297.04752814474386,305.0659987090361,0,88.0,87.0,1
214,Boston Celtics,Philadelphia 76ers,485.1940626464387,243.78156657082712,1,112.0,95.0,1
215,Philadelphia 76ers,Boston Celtics,243.78156657082712,485.1940626464387,0,95.0,112.0,0
216,Brooklyn Nets,Chicago Bulls,303.48072636835934,345.3785300972986,1,100.0,115.0,0
217,Chicago Bulls,Brooklyn Nets,345.3785300972986,303.48072636835934,0,115.0,100.0,2
218,Detroit Pistons,Utah Jazz,363.0859257116043,283.2977724925173,1,92.0,87.0,2
219,Utah Jazz,Detroit Pistons,283.2977724925173,363.0859257116043,0,87.0,92.0,0
220,Miami Heat,Charlotte Hornets,278.0315381039248,310.3818465652464,1,104.0,94.0,1
221,Charlotte Hornets,Miami Heat,310.3818465652464,278.0315381039248,0,94.0,104.0,0
222,Toronto Raptors,Indiana Pacers,305.32751489499225,317.73892180601047,1,106.0,99.0,1
223,Indiana Pacers,Toronto Raptors,317.73892180601047,305.32751489499225,0,99.0,106.0,0
224,Houston Rockets,Denver Nuggets,357.1976435869697,345.32382250731814,1,85.0,105.0,0
225,Denver Nuggets,Houston Rockets,345.32382250731814,357.1976435869697,0,105.0,85.0,1
226,Memphis Grizzlies,Cleveland Cavaliers,294.0831485902944,375.69232491632266,1,76.0,106.0,0
227,Cleveland Cavaliers,Memphis Grizzlies,375.69232491632266,294.0831485902944,0,106.0,76.0,1
228,Milwaukee Bucks,New York Knicks,308.840558422556,378.4247261341977,1,97.0,122.0,0
229,New York Knicks,Milwaukee Bucks,378.4247261341977,308.840558422556,0,122.0,97.0,1
230,Oklahoma City Thunder,San Antonio Spurs,343.37513061817873,358.0757704483246,1,112.0,106.0,1
231,San Antonio Spurs,Oklahoma City Thunder,358.0757704483246,343.37513061817873,0,106.0,112.0,0
232,Phoenix Suns,Dallas Mavericks,371.6738684852079,437.48847152649273,1,95.0,111.0,0
233,Dallas Mavericks,Phoenix Suns,437.48847152649273,371.6738684852079,0,111.0,95.0,1
234,Portland Trail Blazers,New Orleans Pelicans,301.8775996615768,255.37137060357665,1,112.0,94.0,1
235,New Orleans Pelicans,Portland Trail Blazers,255.37137060357665,301.8775996615768,0,94.0,112.0,0
236,Sacramento Kings,LA Clippers,329.2981663369841,307.6604754843969,1,104.0,111.0,0
237,LA Clippers,Sacramento Kings,307.6604754843969,329.2981663369841,0,111.0,104.0,1
238,Los Angeles Lakers,Minnesota Timberwolves,315.7556398816501,332.07321758905545,1,111.0,112.0,0
239,Minnesota Timberwolves,Los Angeles Lakers,332.07321758905545,315.7556398816501,0,112.0,111.0,0
240,Indiana Pacers,Memphis Grizzlies,327.4933134622271,288.50557388909635,1,103.0,112.0,0
241,Memphis Grizzlies,Indiana Pacers,288.50557388909635,327.4933134622271,0,112.0,103.0,1
242,New York Knicks,Atlanta Hawks,371.6355204935681,342.8981852776403,1,101.0,112.0,1
243,Atlanta Hawks,New York Knicks,342.8981852776403,371.6355204935681,0,112.0,101.0,1
244,LA Clippers,Dallas Mavericks,359.2978869826403,341.57121345339533,1,104.0,88.0,2
245,Dallas Mavericks,LA Clippers,341.57121345339533,359.2978869826403,0,88.0,104.0,1
246,Cleveland Cavaliers,Miami Heat,388.6653705943409,357.2760297290746,1,102.0,92.0,2
247,Miami Heat,Cleveland Cavaliers,357.2760297290746,388.6653705943409,0,92.0,102.0,1
